0.000000000000000000e+00,2.999547057431594865e+01,2.999550090347493025e+01,2.999551606800816472e+01,2.999551606804922699e+01,2.999550090343386799e+01,2.999547057435700737e+01,0.000000000000000000e+00
2.999546366883420134e+01,2.999550090893075804e+01,2.999553123815272571e+01,2.999554640280706508e+01,2.999554640278838846e+01,2.999553123817140232e+01,2.999550090891208143e+01,2.999546366887465965e+01
2.999550090340508390e+01,2.999553814441849298e+01,2.999556847382874025e+01,2.999558363852076326e+01,2.999558363853972409e+01,2.999556847380978652e+01,2.999553814443744670e+01,2.999550090336402164e+01
2.999553678566031678e+01,2.999557402928804350e+01,2.999560435880470521e+01,2.999561952360808448e+01,2.999561952358827810e+01,2.999560435882451159e+01,2.999557402926823357e+01,2.999553678570320159e+01
2.999557131984013836e+01,2.999560856753360127e+01,2.999563889723105348e+01,2.999565406206324525e+01,2.999565406208449403e+01,2.999563889720980470e+01,2.999560856755484650e+01,2.999557131979417690e+01
2.999560451252919435e+01,2.999564176600413390e+01,2.999567209579134541e+01,2.999568726073524516e+01,2.999568726071193936e+01,2.999567209581465477e+01,2.999564176598082810e+01,2.999560451257956473e+01
2.999563637333868371e+01,2.999567363403213704e+01,2.999570396399761307e+01,2.999571912895664383e+01,2.999571912898267101e+01,2.999570396397157879e+01,2.999567363405816423e+01,2.999563637328249044e+01
2.999566691407088115e+01,2.999570418374275604e+01,2.999573451377632693e+01,2.999574967885265764e+01,2.999574967882318433e+01,2.999573451380580025e+01,2.999570418371328273e+01,2.999566691413444275e+01
2.999569614951524343e+01,2.999573342958727551e+01,2.999576375980235099e+01,2.999577892487466357e+01,2.999577892490837172e+01,2.999576375976864284e+01,2.999573342962098721e+01,2.999569614944264018e+01
2.999572409639577941e+01,2.999576138871384856e+01,2.999579171896949958e+01,2.999580688417091068e+01,2.999580688413207952e+01,2.999579171900833074e+01,2.999576138867502095e+01,2.999572409647928239e+01
2.999575077438016990e+01,2.999578808036399735e+01,2.999581841081139189e+01,2.999583357598303479e+01,2.999583357602796596e+01,2.999581841076646427e+01,2.999578808040892497e+01,2.999575077428368175e+01
2.999577620470932970e+01,2.999581352635821219e+01,2.999584385681150067e+01,2.999585902213167543e+01,2.999585902207954291e+01,2.999584385686362609e+01,2.999581352630608677e+01,2.999577620482112295e+01
2.999580041153895138e+01,2.999583775030594524e+01,2.999586808096992385e+01,2.999588324622641267e+01,2.999588324628697222e+01,2.999586808090936074e+01,2.999583775036650479e+01,2.999580041140924180e+01
2.999582342012857339e+01,2.999586077827181541e+01,2.999589110889800381e+01,2.999590627433202883e+01,2.999590627426163536e+01,2.999589110896839728e+01,2.999586077820141128e+01,2.999582342027911608e+01
2.999584525866359641e+01,2.999588263773767238e+01,2.999591296860449319e+01,2.999592813393054769e+01,2.999592813401234537e+01,2.999591296852269195e+01,2.999588263781947362e+01,2.999584525848892369e+01
2.999586595585043014e+01,2.999590335853183731e+01,2.999593368930571557e+01,2.999594885485045737e+01,2.999594885475548267e+01,2.999593368940069382e+01,2.999590335843685551e+01,2.999586595605292771e+01
2.999588554340444446e+01,2.999592297146531905e+01,2.999595330252368086e+01,2.999596846790296922e+01,2.999596846801312466e+01,2.999595330241352542e+01,2.999592297157547804e+01,2.999588554316997246e+01
2.999590405285729844e+01,2.999594150962806793e+01,2.999597184052369414e+01,2.999598700617821123e+01,2.999598700605064039e+01,2.999597184065127209e+01,2.999594150950048643e+01,2.999590405312839181e+01
2.999592151894400871e+01,2.999595900659975456e+01,2.999598933784127297e+01,2.999600450325608847e+01,2.999600450340361135e+01,2.999598933769375364e+01,2.999595900674728099e+01,2.999592151863108569e+01
2.999593797537707118e+01,2.999597549824417086e+01,2.999600582923458703e+01,2.999602099500058472e+01,2.999602099483028894e+01,2.999600582940488636e+01,2.999597549807387864e+01,2.999593797573763609e+01
2.999595345942503855e+01,2.999599102036751574e+01,2.999602135178727380e+01,2.999603651721812980e+01,2.999603651741436749e+01,2.999602135159103256e+01,2.999599102056375344e+01,2.999595345901035159e+01
2.999596800634433080e+01,2.999600561117570408e+01,2.999603594223254532e+01,2.999605110811486952e+01,2.999605110788915852e+01,2.999603594245826343e+01,2.999600561094999307e+01,2.999596800682035536e+01
